DepMap_ID,cell_line_name,stripped_cell_line_name,CCLE_Name,alias,COSMICID,sex,source,RRID,WTSI_Master_Cell_ID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype,culture_type
ACH-000174,CAL-62,CAL62,CAL62_THYROID,,906828.0,Female,DSMZ,CVCL_1112,1753.0,pleural_effusion,Primary,Thyroid Cancer,"Carcinoma, anaplastic",70.0,SIDM00931,,thyroid,thyroid_carcinoma,anaplastic,,
ACH-000176,LOU-NH91,LOUNH91,LOUNH91_LUNG,,1298226.0,Female,DSMZ,CVCL_2104,1506.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",64.0,SIDM00341,,lung,NSCLC,NSCLC_squamous,,Adherent
ACH-000178,Hs 766T,HS766T,HS766T_PANCREAS,,1298141.0,Male,ATCC,CVCL_0334,1843.0,lymph_node,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",46.0,SIDM00664,,pancreas,exocrine,exocrine_adenocarcinoma,,Adherent
ACH-000181,SCC-9,SCC9,SCC9_UPPER_AERODIGESTIVE_TRACT,,909709.0,Male,ATCC,CVCL_1685,2054.0,upper_aerodigestive_tract,Primary,Head and Neck Cancer,Squamous Cell Carcinoma,25.0,SIDM01080,,upper_aerodigestive,upper_aerodigestive_squamous,,,Adherent
ACH-000183,L-363,L363,L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,924239.0,Female,DSMZ,CVCL_1357,2224.0,haematopoietic_and_lymphoid_tissue,Primary,Myeloma,Multiple Myeloma,36.0,SIDM00312,,plasma_cell,multiple_myeloma,,,Suspension
ACH-000186,NCI-H2444,NCIH2444,NCIH2444_LUNG,,1298356.0,Male,ATCC,CVCL_1552,1538.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), unspecified",,SIDM00723,,lung,NSCLC,,,Adherent
ACH-000187,COR-L311,CORL311,CORL311_LUNG,,687980.0,Male,ECACC,CVCL_2412,1167.0,lung,Primary,Lung Cancer,Small Cell Lung Cancer (SCLC),63.0,SIDM00509,,lung,SCLC,,,
ACH-000188,SCC-25,SCC25,SCC25_UPPER_AERODIGESTIVE_TRACT,,910701.0,Male,ATCC,CVCL_1682,1419.0,upper_aerodigestive_tract,Primary,Head and Neck Cancer,Squamous Cell Carcinoma,70.0,SIDM01082,,upper_aerodigestive,upper_aerodigestive_squamous,,,Adherent
ACH-000189,RCC10RGB,RCC10RGB,RCC10RGB_KIDNEY,,909974.0,Male,RIKEN,CVCL_1647,1640.0,kidney,Primary,Kidney Cancer,Renal Cell Carcinoma,,SIDM00235,,kidney,renal_cell_carcinoma,,,Adherent
ACH-000190,HD-MY-Z,HDMYZ,HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907050.0,Male,DSMZ,CVCL_1273,883.0,pleural_effusion,,Leukemia,Acute Myeloid Leukemia,29.0,SIDM01063,,,,,,
ACH-000191,BHT-101,BHT101,BHT101_THYROID,,906696.0,Female,DSMZ,CVCL_1085,672.0,lymph_node,Metastasis,Thyroid Cancer,"Carcinoma, papillary",63.0,SIDM00987,,thyroid,thyroid_carcinoma,papillary,,
ACH-000192,MFE-280,MFE280,MFE280_ENDOMETRIUM,,908129.0,Female,DSMZ,CVCL_1405,1540.0,endometrium,Primary,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,77.0,SIDM00335,,uterus,endometrial_adenocarcinoma,,,Adherent
ACH-000193,KARPAS-620,KARPAS620,KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1327775.0,Female,DSMZ,CVCL_1823,184.0,haematopoietic_and_lymphoid_tissue,Primary,Myeloma,Multiple Myeloma,77.0,SIDM01006,,plasma_cell,multiple_myeloma,,,Suspension
ACH-000196,HCC1599,HCC1599,HCC1599_BREAST,,749713.0,Female,ATCC,CVCL_1256,1264.0,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,44.0,SIDM00877,,breast,breast_ductal_carcinoma,ERneg_HER2neg,basal_A,Suspension
ACH-000197,TALL-1,TALL1,TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909762.0,Male,DSMZ,CVCL_1736,2218.0,bone_marrow,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell",28.0,SIDM00370,,blood,ALL,t_cell,,Suspension
ACH-000198,EOL-1,EOL1,EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906856.0,Male,DSMZ,CVCL_0258,426.0,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",33.0,SIDM00277,,blood,AML,M5,,
ACH-000200,NMC-G1,NMCG1,NMCG1_CENTRAL_NERVOUS_SYSTEM,,908449.0,Female,HSRRB,CVCL_1608,650.0,central_nervous_system,Primary,Brain Cancer,Glioblastoma,,SIDM00575,,central_nervous_system,glioma,glioblastoma,,Adherent
ACH-000201,A-204,A204,A204_SOFT_TISSUE,,910784.0,Female,ATCC,CVCL_1058,349.0,soft_tissue,Primary,Rhabdoid,Malignant Rhabdoid Tumor,1.0,SIDM00798,,soft_tissue,malignant_rhabdoid_tumor,,,Adherent
ACH-000204,LP-1,LP1,LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907791.0,Female,HSRRB,CVCL_0012,1794.0,haematopoietic_and_lymphoid_tissue,Primary,Myeloma,Multiple Myeloma,56.0,SIDM00340,,plasma_cell,multiple_myeloma,,,
ACH-000207,Detroit 562,DETROIT562,DETROIT562_UPPER_AERODIGESTIVE_TRACT,,906837.0,Female,ATCC,CVCL_1171,2075.0,pleural_effusion,Metastasis,Head and Neck Cancer,"Squamous Cell Carcinoma, pharynx",,SIDM00831,,upper_aerodigestive,upper_aerodigestive_squamous,pharynx,,
ACH-000210,CADO-ES1,CADOES1,CADOES1_BONE,CADO-ES-1,753539.0,Female,DSMZ,CVCL_1103,1523.0,pleural_effusion,Metastasis,Bone Cancer,Ewings Sarcoma,19.0,SIDM00961,,bone,Ewing_sarcoma,,EWS_ERG,Mixed adherent and suspension
ACH-000211,Daoy,DAOY,DAOY_CENTRAL_NERVOUS_SYSTEM,,906833.0,Male,ATCC,CVCL_1167,2150.0,central_nervous_system,Primary,Brain Cancer,Medulloblastoma,4.0,SIDM00887,,central_nervous_system,medulloblastoma,,non_MYC,Adherent
ACH-000212,CAL-120,CAL120,CAL120_BREAST,,906826.0,Female,DSMZ,CVCL_1104,1748.0,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,43.0,SIDM00940,,breast,breast_carcinoma,ERneg_HER2neg,basal_B,Adherent
ACH-000213,HUP-T4,HUPT4,HUPT4_PANCREAS,,907286.0,Male,DSMZ,CVCL_1300,618.0,ascites,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",60.0,SIDM00531,,pancreas,exocrine,exocrine_adenocarcinoma,,Mixed adherent and suspension
ACH-000217,JHH-6,JHH6,JHH6_LIVER,,1240159.0,Female,HSRRB,CVCL_2788,1824.0,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,57.0,SIDM00615,,liver,hepatocellular_carcinoma,,,Adherent
ACH-000218,PL-21,PL21,PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1330991.0,Male,DSMZ,CVCL_2161,698.0,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)",24.0,SIDM00450,,blood,AML,M3,,
ACH-000219,A-375,A375,A375_SKIN,,906793.0,Female,ATCC,CVCL_0132,953.0,skin,Primary,Skin Cancer,Melanoma,54.0,SIDM00795,,skin,melanoma,,,Adherent
ACH-000221,SNU-398,SNU398,SNU398_LIVER,,1240217.0,Male,ATCC,CVCL_0077,2169.0,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,42.0,SIDM01181,,liver,hepatocellular_carcinoma,,,Mixed adherent and suspension
ACH-000222,AsPC-1,ASPC1,ASPC1_PANCREAS,,910702.0,Female,ATCC,CVCL_0152,59.0,ascites,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",62.0,SIDM00899,,pancreas,exocrine,exocrine_adenocarcinoma,,Adherent
ACH-000223,HCC1937,HCC1937,HCC1937_BREAST,,749714.0,Female,ATCC,CVCL_0290,936.0,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,24.0,SIDM00874,,breast,breast_ductal_carcinoma,ERneg_HER2neg,basal_A,Adherent
ACH-000225,ECC12,ECC12,ECC12_STOMACH,,906849.0,Male,RIKEN,CVCL_1189,2094.0,stomach,,Gastric Cancer,Small Cell Carcinoma,63.0,SIDM00279,,gastric,gastric_small_cell,,,Adherent
ACH-000226,SUP-M2,SUPM2,SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1331040.0,Female,DSMZ,CVCL_2209,1878.0,central_nervous_system,,Lymphoma,"T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)",5.0,SIDM00421,,lymphocyte,non_hodgkin_lymphoma,t_cell_ALCL,,Suspension
ACH-000227,KP-N-YN,KPNYN,KPNYN_AUTONOMIC_GANGLIA,,907314.0,Male,HSRRB,CVCL_1341,1977.0,lymph_node,Metastasis,Neuroblastoma,,2.0,SIDM00556,,peripheral_nervous_system,neuroblastoma,,MYCN_amp,Mixed adherent and suspension
ACH-000228,BICR 31,BICR31,BICR31_UPPER_AERODIGESTIVE_TRACT,,1290725.0,Male,ECACC,CVCL_2312,940.0,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",,SIDM00078,,upper_aerodigestive,upper_aerodigestive_squamous,oral,,Adherent
ACH-000231,KALS-1,KALS1,KALS1_CENTRAL_NERVOUS_SYSTEM,,907271.0,Female,HSRRB,CVCL_1323,1936.0,central_nervous_system,Primary,Brain Cancer,Glioblastoma,,SIDM00613,,central_nervous_system,glioma,glioblastoma,,
ACH-000232,U-251 MG,U251MG,U251MG_CENTRAL_NERVOUS_SYSTEM,U251-MG,905983.0,Male,HSRRB,CVCL_0021,1913.0,central_nervous_system,Primary,Brain Cancer,Astrocytoma,,SIDM00111,,central_nervous_system,glioma,astrocytoma,,
ACH-000233,DEL,DEL,DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906836.0,Male,DSMZ,CVCL_1170,793.0,pleural_effusion,,Lymphoma,"T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)",12.0,SIDM00949,,lymphocyte,non_hodgkin_lymphoma,t_cell_ALCL,,Suspension
ACH-000235,Panc 04.03,PANC0403,PANC0403_PANCREAS,,1298476.0,Male,ATCC,CVCL_1636,2123.0,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",70.0,SIDM01137,,pancreas,exocrine,exocrine_adenocarcinoma,,Adherent
ACH-000236,SW1417,SW1417,SW1417_LARGE_INTESTINE,,909747.0,Female,ATCC,CVCL_1717,974.0,Colon,Primary,Colon/Colorectal Cancer,Adenocarcinoma,53.0,SIDM00812,,colorectal,colorectal_adenocarcinoma,,,Adherent
ACH-000238,SCC-4,SCC4,SCC4_UPPER_AERODIGESTIVE_TRACT,,910904.0,Male,ATCC,CVCL_1684,1476.0,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",55.0,SIDM01081,,upper_aerodigestive,upper_aerodigestive_squamous,oral,,Adherent
ACH-000242,RT4,RT4,RT4_URINARY_TRACT,,687455.0,Male,ATCC,CVCL_0036,1309.0,urinary_tract,Primary,Bladder Cancer,Transitional Cell Carcinoma,63.0,SIDM01085,,urinary_tract,bladder_carcinoma,bladder_transitional_cell,,Adherent
ACH-000243,DAN-G,DANG,DANG_PANCREAS,,1290797.0,Female,DSMZ,CVCL_0243,871.0,pancreas,,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",,SIDM00950,,pancreas,exocrine,exocrine_adenocarcinoma,,Adherent
ACH-000244,DK-MG,DKMG,DKMG_CENTRAL_NERVOUS_SYSTEM,,906839.0,Female,DSMZ,CVCL_1173,1386.0,central_nervous_system,Primary,Brain Cancer,Glioblastoma,67.0,SIDM00947,,central_nervous_system,glioma,glioblastoma,,Adherent
ACH-000245,BL-41,BL41,BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,910706.0,Male,DSMZ,CVCL_1087,737.0,haematopoietic_and_lymphoid_tissue,,Lymphoma,"B-cell, Non-Hodgkins, Burkitts",8.0,SIDM00985,,lymphocyte,non_hodgkin_lymphoma,b_cell_burkitt,,Adherent
ACH-000247,OCUM-1,OCUM1,OCUM1_STOMACH,,1298358.0,Female,HSRRB,CVCL_3084,1712.0,stomach,Metastasis,Gastric Cancer,Adenocarcinoma,38.0,SIDM00568,,gastric,gastric_adenocarcinoma,diffuse_gastric,,
ACH-000248,AU565,AU565,AU565_BREAST,,910704.0,Female,ATCC,CVCL_1074,726.0,pleural_effusion,Metastasis,Breast Cancer,Adenocarcinoma,43.0,SIDM00898,,breast,breast_adenocarcinoma,ERneg_HER2pos,HER2_amp,Adherent
ACH-000249,CL-11,CL11,CL11_LARGE_INTESTINE,,1290769.0,Male,DSMZ,CVCL_1978,1153.0,Colon,Primary,Colon/Colorectal Cancer,Adenocarcinoma,,SIDM00944,,colorectal,colorectal_adenocarcinoma,,,Adherent
ACH-000250,KMRC-20,KMRC20,KMRC20_KIDNEY,,1298169.0,Unknown,HSRRB,CVCL_2986,1515.0,kidney,Primary,Kidney Cancer,Renal Cell Carcinoma,,SIDM00609,,kidney,renal_cell_carcinoma,,,Adherent
ACH-000252,LS1034,LS1034,LS1034_LARGE_INTESTINE,,917486.0,Male,ATCC,CVCL_1382,1756.0,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,54.0,SIDM00681,,colorectal,colorectal_adenocarcinoma,,,Adherent
ACH-000254,SCC-15,SCC15,SCC15_UPPER_AERODIGESTIVE_TRACT,,910911.0,Male,ATCC,CVCL_1681,2053.0,upper_aerodigestive_tract,,Head and Neck Cancer,Squamous Cell Carcinoma,55.0,SIDM01083,,upper_aerodigestive,upper_aerodigestive_squamous,,,Adherent
ACH-000257,COR-L279,CORL279,CORL279_LUNG,,910937.0,Male,ECACC,CVCL_1140,1768.0,lymph_node,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),63.0,SIDM00511,,lung,SCLC,,,
ACH-000258,Du4475,DU4475,DU4475_BREAST,,906844.0,Female,ATCC,CVCL_1183,302.0,skin,Metastasis,Breast Cancer,Carcinoma,62.0,SIDM01001,,breast,breast_carcinoma,ERneg_HER2neg,luminal_HER2_amp,Suspension
ACH-000259,KELLY,KELLY,KELLY_AUTONOMIC_GANGLIA,,753618.0,Female,DSMZ,CVCL_2092,225.0,autonomic_ganglia,Primary,Neuroblastoma,,,SIDM01009,,peripheral_nervous_system,neuroblastoma,,MYCN_amp,
ACH-000260,SK-N-AS,SKNAS,SKNAS_AUTONOMIC_GANGLIA,,724828.0,Female,ATCC,CVCL_1700,1480.0,bone_marrow,Metastasis,Neuroblastoma,,6.0,SIDM01101,,peripheral_nervous_system,neuroblastoma,,,Adherent
ACH-000263,KASUMI-1,KASUMI1,KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907275.0,Male,DSMZ,CVCL_0589,1196.0,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M2 (Myeloblastic)",7.0,SIDM01005,,blood,AML,M2,,
ACH-000264,Calu-6,CALU6,CALU6_LUNG,,724859.0,Female,ATCC,CVCL_0236,1844.0,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), unspecified",61.0,SIDM00921,,lung,NSCLC,,,Adherent
ACH-000265,KP4,KP4,KP4_PANCREAS,,753572.0,Male,RIKEN,CVCL_1338,708.0,ascites,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",50.0,SIDM00301,,pancreas,exocrine,exocrine_adenocarcinoma,,Adherent
ACH-000267,HDLM-2,HDLM2,HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,924110.0,Male,DSMZ,CVCL_0009,1510.0,pleural_effusion,,Lymphoma,"B-cell, Hodgkins",74.0,SIDM01064,,lymphocyte,hodgkin_lymphoma,,,Suspension
ACH-000269,AM-38,AM38,AM38_CENTRAL_NERVOUS_SYSTEM,,910933.0,Male,HSRRB,CVCL_1070,776.0,central_nervous_system,Primary,Brain Cancer,Glioblastoma,36.0,SIDM00492,,central_nervous_system,glioma,glioblastoma,,
ACH-000270,HPAC,HPAC,HPAC_PANCREAS,,1298136.0,Female,ATCC,CVCL_3517,744.0,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",64.0,SIDM00670,,pancreas,exocrine,exocrine_adenocarcinoma,,Adherent
ACH-000271,SU-DHL-10,SUDHL10,SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1331033.0,Male,DSMZ,CVCL_1889,269.0,pleural_effusion,Metastasis,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),25.0,SIDM00389,,lymphocyte,non_hodgkin_lymphoma,DLBCL,,
ACH-000273,SF539,SF539,SF539_CENTRAL_NERVOUS_SYSTEM,,905984.0,Female,Academic lab,CVCL_1691,1781.0,central_nervous_system,Primary,Brain Cancer,Glioma,,SIDM00083,,central_nervous_system,glioma,,,Mixed adherent and suspension
ACH-000276,HCC38,HCC38,HCC38_BREAST,,749717.0,Female,ATCC,CVCL_1267,1318.0,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,50.0,SIDM00675,,breast,breast_ductal_carcinoma,ERneg_HER2neg,basal_A,Adherent
ACH-000277,HCC1419,HCC1419,HCC1419_BREAST,,907045.0,Female,ATCC,CVCL_1251,1551.0,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,42.0,SIDM00882,,breast,breast_ductal_carcinoma,ERpos_HER2pos,HER2_amp,
ACH-000281,KP-2,KP2,KP2_PANCREAS,,1298218.0,Female,HSRRB,CVCL_3004,746.0,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",65.0,SIDM00582,,pancreas,exocrine,exocrine_adenocarcinoma,,
ACH-000287,NU-DUL-1,NUDUL1,NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1330982.0,Male,DSMZ,CVCL_1877,95.0,central_nervous_system,,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),43.0,SIDM00443,,lymphocyte,non_hodgkin_lymphoma,DLBCL,,
ACH-000288,BT-549,BT549,BT549_BREAST,,905951.0,Female,ATCC,CVCL_1092,1835.0,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,72.0,SIDM00122,,breast,breast_ductal_carcinoma,ERneg_HER2neg,basal_B,Adherent
ACH-000290,NCI-H209,NCIH209,NCIH209_LUNG,H209,688013.0,Male,ATCC,CVCL_1525,452.0,bone_marrow,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),55.0,SIDM00706,,lung,SCLC,,,Adherent
ACH-000291,OV-90,OV90,OV90_OVARY,,1240197.0,Female,ATCC,CVCL_3768,1327.0,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",64.0,SIDM01141,,ovary,ovary_adenocarcinoma,high_grade_serous,,Adherent
ACH-000292,NCI-H841,NCIH841,NCIH841_LUNG,,1240192.0,Male,ATCC,CVCL_1595,1372.0,lung,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),51.0,SIDM01134,,lung,SCLC,,,
ACH-000293,KLE,KLE,KLE_ENDOMETRIUM,,924187.0,Female,ATCC,CVCL_1329,2256.0,endometrium,Primary,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,64.0,SIDM00686,,uterus,endometrial_adenocarcinoma,,,Adherent
ACH-000294,NB-4,NB4,NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1323913.0,Female,DSMZ,CVCL_0005,1285.0,bone_marrow,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)",23.0,SIDM00428,,blood,AML,M3,,
ACH-000295,EM-2,EM2,EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906855.0,Female,DSMZ,CVCL_1196,901.0,bone_marrow,,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis",5.0,SIDM01047,,blood,CML,blast_crisis,,
ACH-000298,NCI-H2029,NCIH2029,NCIH2029_LUNG,,688011.0,Female,ATCC,CVCL_1516,2106.0,lymph_node,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),69.0,SIDM00735,,lung,SCLC,,,
ACH-000301,LAMA-84,LAMA84,LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907783.0,Female,DSMZ,CVCL_0388,709.0,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis",29.0,SIDM00346,,blood,CML,blast_crisis,,Adherent
ACH-000303,SNU-5,SNU5,SNU5_STOMACH,,908445.0,Female,ATCC,CVCL_0078,28.0,ascites,Metastasis,Gastric Cancer,Adenocarcinoma,33.0,SIDM01144,,gastric,gastric_adenocarcinoma,,,
ACH-000304,WM-115,WM115,WM115_SKIN,,909784.0,Female,ATCC,CVCL_0040,1000.0,skin,Metastasis,Skin Cancer,Melanoma,59.0,SIDM01000,,skin,melanoma,,,Adherent
ACH-000305,EC-GI-10,ECGI10,ECGI10_OESOPHAGUS,,753555.0,Male,RIKEN,CVCL_1187,2138.0,lymph_node,,Esophageal Cancer,Squamous Cell Carcinoma,65.0,SIDM00278,,esophagus,esophagus_squamous,,,
ACH-000308,EFO-21,EFO21,EFO21_OVARY,,911905.0,Female,DSMZ,CVCL_0029,303.0,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, clear cell",56.0,SIDM01052,,ovary,ovary_adenocarcinoma,clear_cell,,Adherent
ACH-000309,SK-LU-1,SKLU1,SKLU1_LUNG,,909721.0,Female,ATCC,CVCL_0629,233.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",60.0,SIDM01108,,lung,NSCLC,NSCLC_adenocarcinoma,,Adherent
ACH-000311,NCI-H2122,NCIH2122,NCIH2122_LUNG,,722046.0,Female,ATCC,CVCL_1531,1015.0,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",46.0,SIDM00702,,lung,NSCLC,NSCLC_adenocarcinoma,,Suspension
ACH-000315,KARPAS-422,KARPAS422,KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907274.0,Female,DSMZ,CVCL_1325,1973.0,pleural_effusion,Metastasis,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),73.0,SIDM01008,,lymphocyte,non_hodgkin_lymphoma,DLBCL,,
ACH-000318,TE-10,TE10,TE10_OESOPHAGUS,,753622.0,Male,RIKEN,CVCL_1760,1561.0,oesophagus,Primary,Esophageal Cancer,Squamous Cell Carcinoma,,SIDM00349,,esophagus,esophagus_squamous,,,
ACH-000319,MPP 89,MPP89,MPP89_PLEURA,,908150.0,Male,ICLC,CVCL_1427,2255.0,pleural_effusion,,Lung Cancer,Mesothelioma,67.0,SIDM00222,,lung,mesothelioma,,,
ACH-000320,PSN1,PSN1,PSN1_PANCREAS,GR-M,910546.0,Male,ECACC,CVCL_1644,560.0,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",,SIDM00469,,pancreas,exocrine,exocrine_adenocarcinoma,,Adherent
ACH-000322,HT-144,HT144,HT144_SKIN,,907067.0,Male,ATCC,CVCL_0318,1193.0,skin,Metastasis,Skin Cancer,Melanoma,29.0,SIDM00695,,skin,melanoma,,,Adherent
ACH-000323,42-MG-BA,42MGBA,42MGBA_CENTRAL_NERVOUS_SYSTEM,,687561.0,Male,DSMZ,CVCL_1798,1465.0,central_nervous_system,Primary,Brain Cancer,Astrocytoma,63.0,SIDM00982,,central_nervous_system,glioma,astrocytoma,,Adherent
ACH-000326,JURL-MK1,JURLMK1,JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1327771.0,Male,DSMZ,CVCL_2086,1807.0,haematopoietic_and_lymphoid_tissue,,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis",73.0,SIDM01015,,blood,CML,blast_crisis,,
ACH-000327,NCI-H1395,NCIH1395,NCIH1395_LUNG,,684681.0,Female,ATCC,CVCL_1467,1826.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",55.0,SIDM00644,,lung,NSCLC,NSCLC_adenocarcinoma,,Adherent
ACH-000329,CCF-STTG1,CCFSTTG1,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,,906823.0,Female,ATCC,CVCL_1118,876.0,central_nervous_system,Primary,Brain Cancer,Astrocytoma,68.0,SIDM00131,,central_nervous_system,glioma,astrocytoma,,Adherent
ACH-000330,EFM-19,EFM19,EFM19_BREAST,,906851.0,Female,DSMZ,CVCL_0253,1786.0,pleural_effusion,Metastasis,Breast Cancer,Breast Ductal Carcinoma,50.0,SIDM01056,,breast,breast_ductal_carcinoma,ERpos_HER2neg,luminal,
ACH-000332,YAPC,YAPC,YAPC_PANCREAS,,909904.0,Male,DSMZ,CVCL_1794,895.0,ascites,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",43.0,SIDM00411,,pancreas,exocrine,exocrine_adenocarcinoma,,Adherent
ACH-000334,DB,DB,DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906832.0,Male,ATCC,CVCL_1168,1185.0,ascites,Metastasis,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),45.0,SIDM00886,,lymphocyte,non_hodgkin_lymphoma,DLBCL,,Suspension
ACH-000335,MSTO-211H,MSTO211H,MSTO211H_PLEURA,,908152.0,Male,ATCC,CVCL_1430,209.0,pleural_effusion,Metastasis,Lung Cancer,Mesothelioma,62.0,SIDM00640,,lung,mesothelioma,,,Adherent
ACH-000336,OCI-AML3,OCIAML3,OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1290455.0,Male,DSMZ,CVCL_1844,355.0,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M4 (Myelomonocytic)",57.0,SIDM00462,,blood,AML,M4,,
ACH-000337,NCI-H3122,NCIH3122,NCIH3122_LUNG,,1240190.0,Unknown,Academic lab,CVCL_5160,918.0,lung,,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,SIDM00137,,lung,NSCLC,NSCLC_adenocarcinoma,,not found
ACH-000338,SR-786,SR786,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SR,905965.0,Male,DSMZ,,794.0,pleural_effusion,Primary,Lymphoma,"T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)",11.0,SIDM00096,,lymphocyte,non_hodgkin_lymphoma,t_cell_ALCL,,
ACH-000341,SK-N-FI,SKNFI,SKNFI_AUTONOMIC_GANGLIA,,688087.0,Male,ATCC,CVCL_1702,227.0,bone_marrow,Metastasis,Neuroblastoma,,11.0,SIDM01099,,peripheral_nervous_system,neuroblastoma,,,Adherent
ACH-000343,NCI-H522,NCIH522,NCIH522_LUNG,,905944.0,Male,ATCC,CVCL_1567,1224.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",60.0,SIDM00116,,lung,NSCLC,NSCLC_adenocarcinoma,,
